Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Paga_Dividendos,Tamanio_Empresa,Valuacion_PE
STT,State Street Corporation,Asset Management & Custody Banks,191.74,16.923214,0.0192,11.33,104.64,192.51,52671315968.0,,3.5060453,2.2037053,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT,Sí,Large Cap,Neutral
STLD,Steel Dynamics,Steel,255.77,23.209618,0.0083,11.02,124.77,288.74,36659027968.0,2674440960.0,1.7848778,3.8994677,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STLD,Sí,Large Cap,Neutral
STE,Steris,Health Care Equipment,233.28,28.483519,0.0111,8.19,195.14,269.44,22744825856.0,1640499968.0,3.767259,3.1560576,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STE,Sí,Large Cap,Neutral
SYK,Stryker Corporation,Health Care Equipment,339.21,35.224297,0.0104,9.63,281.0,396.86,130111815680.0,7376000000.0,5.0358715,5.6590643,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK,Sí,Large Cap,Sobrevalorada
SMCI,Supermicro,"Technology Hardware, Storage & Peripherals",39.84,20.968422,0.0,1.9,19.48,58.78,25771421696.0,2824158976.0,0.6597387,3.1626577,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SMCI,No,Large Cap,Neutral
SYF,Synchrony Financial,Consumer Finance,81.0,8.307693,0.0168,9.75,63.08,88.77,26355038208.0,,2.6599758,1.7339926,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF,Sí,Large Cap,Subvalorada
SNPS,Synopsys,Application Software,421.5,96.23287,0.0,4.38,366.0,626.24,80708534272.0,1696253056.0,9.2988825,2.6475964,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNPS,No,Large Cap,Sobrevalorada
SYY,Sysco,Food Distributors,82.99,22.674862,0.0265,3.66,68.19,91.85,39730659328.0,4553999872.0,0.4698906,14.896787,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY,Sí,Large Cap,Neutral
TMUS,T-Mobile US,Wireless Telecommunication Services,182.61,19.081505,0.0223,9.57,165.66,261.56,195880566784.0,34370998272.0,2.1247716,3.4883854,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMUS,Sí,Large Cap,Neutral
TROW,T. Rowe Price,Asset Management & Custody Banks,110.56,11.100401,0.047,9.96,85.22,122.0,23584200704.0,2963800064.0,3.1064544,2.2043226,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW,Sí,Large Cap,Subvalorada
TTWO,Take-Two Interactive,Interactive Home Entertainment,246.95,,0.0,-1.73,187.63,265.94,46174822400.0,766499968.0,6.905679,13.040608,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TTWO,No,Large Cap,Sin P/E (Pérdidas)
TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods",128.98,17.741402,0.0143,7.27,93.0,164.8,25717538816.0,2023500032.0,3.2130055,38.238956,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TPR,Sí,Large Cap,Neutral
TRGP,Targa Resources,Oil & Gas Storage & Transportation,275.79,26.391388,0.0181,10.45,144.14,291.04,59137933312.0,5497699840.0,3.5324154,18.880674,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRGP,Sí,Large Cap,Neutral
